category,group1,group2
grocery,none,grocery
beverages,beverages,grocery
meatanddeli,meat,grocery
produce,produce,grocery
dairyandcheese,dairy,grocery
babyproductshealthandbeauty,delete,delete
fruitandvegetables,produce,grocery
home,delete,delete
pantry,pantry,grocery
drinks,beverages,grocery
breadandbakeryproducts,bakery,grocery
bakery,bakery,grocery
snacks,pantry,grocery
householdproducts,delete,delete
dairyeggs,dairy,grocery
fruitsvegetables,produce,grocery
meatseafood,meat,grocery
meat,meat,grocery
dairy,dairy,grocery
fishandseafood,meat,grocery
household,delete,delete
womensclothing,delete,delete
delireadymeals,meat,grocery
personalcare,delete,delete
householdsupplies,delete,delete
conselectronics,delete,delete
electronics,delete,delete
outdoorseasonal,delete,delete
deli,meat,grocery
frozenfood,frozen,grocery
hba,delete,delete
infantconsumables,delete,delete
coregrocery,none,grocery
dietnutrition,none,grocery
pharmacy,delete,delete
healthbeauty,delete,delete
lawnandgarden,delete,delete
seafood,meat,grocery
frozen,frozen,grocery
mensclothing,delete,delete
preparedmeals,frozen,grocery
pharmacyotc,delete,delete
kidsclothing,delete,delete
chemicals,delete,delete
papergoods,delete,delete
other,delete,delete
beautyskincare,delete,delete
delihmr,delete,delete
wirelessmdse,delete,delete
sportinggoods,delete,delete
medicinehealth,delete,delete
snacksbeverage,pantry,grocery
pets,delete,delete
seasonal,delete,delete
processedmeat,meat,grocery
babyneeds,delete,delete
petfoodaccessories,delete,delete
housewares,delete,delete
toys,delete,delete
petsupplies,delete,delete
bedding,delete,delete
appliances,delete,delete
householdcleaningpaperproducts,delete,delete
domestic,delete,delete
commercialbread,bakery,grocery
candy,pantry,grocery
condiments,pantry,grocery
windowcovering,delete,delete
