,item,category,name,price,store,image,story,vegan,foods,real price,location
0,campbell's soup,beverages,Campbell's soup,2/ $0.99,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829127/3e8b2328-38bf-11ec-b686-0ec6e2beadde/medium,,FALSE,"[""campbell's soup""]",0.495,Kingston
1,mr. noodles instant noodles,frozen,Mr. noodles instant noodles,2/ $1.00,Metro,https://cdn.flippenterprise.net/page_items/240949264/1636056009/large.jpg,,FALSE,['mr. noodles instant noodles'],0.5,Kingston
2,fuyu persimmons or kiwi,produce,Fuyu persimmons or kiwi,3/ $2.00 or $0.77,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829400/d65d9bbc-38c0-11ec-9ed6-0efae983d694/medium,,FALSE,['fuyu persimmons or kiwi'],0.6666666666666666,Kingston
3,"campbell's tomato, cream of mushroom, vegetable or chicken noodle soup, 284 ml",meat,"Campbell's tomato, cream of mushroom, vegetable or chicken noodle soup, 284 ml",$0.69,Loblaws,https://cdn.flippenterprise.net/page_pdf_images/12821747/4423b72e-37f6-11ec-89e7-0ec6e2beadde/medium,save 30¢,FALSE,"[""campbell's tomato, cream of mushroom, vegetable or chicken noodle soup, 284 ml""]",0.69,Kingston
4,"fancy feast cat food, 85 g",none,"Fancy feast cat food, 85 g",$0.70,No Frills,https://cdn.flippenterprise.net/page_pdf_images/12829440/db2f04aa-38c0-11ec-9e87-0e1ba86a8db4/medium,,FALSE,"['fancy feast cat food, 85 g']",0.7,Kingston
5,bagels,bakery,"Bacon, egg & cheese bagel",2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
6,bagels,bakery,Blueberry bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
7,bagels,bakery,Cinnamon raisin bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
8,bagels,bakery,Everything bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
9,bagels,bakery,French toast bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
