,item,category,name,price,store,image,story,vegan,foods,real_price,location
0,campbell's soup,beverages,Campbell's soup,2/ $0.99,Food Basics,https://cdn.flippenterprise.net/page_pdf_images/12829127/3e8b2328-38bf-11ec-b686-0ec6e2beadde/medium,,FALSE,"[""campbell's soup""]",0.495,Kingston
1,mr. noodles instant noodles,other,Mr. noodles instant noodles,2/ $1.00,Metro,https://cdn.flippenterprise.net/page_items/240949264/1636056009/large.jpg,,FALSE,['mr. noodles instant noodles'],0.5,Kingston
2,"campbell's tomato, cream of mushroom, vegetable or chicken noodle soup, 284 ml",dairy,"Campbell's tomato, cream of mushroom, vegetable or chicken noodle soup, 284 ml",$0.69,Loblaws,https://cdn.flippenterprise.net/page_pdf_images/12821747/4423b72e-37f6-11ec-89e7-0ec6e2beadde/medium,save 30¢,FALSE,"[""campbell's tomato, cream of mushroom, vegetable or chicken noodle soup, 284 ml""]",0.69,Kingston
3,bagels,bakery,"Bacon, egg & cheese bagel",2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
4,bagels,bakery,Whole wheat bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
5,bagels,bakery,Pumpernickel bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
6,bagels,bakery,Poppy seed bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
7,bagels,bakery,Plain bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
8,bagels,bakery,Front street bakery cheddar cheese bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
9,bagels,bakery,French toast bagel,2/ $1.50,Metro,https://cdn.flippenterprise.net/page_pdf_images/12839309/504d261a-3b17-11ec-ac43-0ec6e2beadde/medium,,FALSE,['bagels'],0.75,Kingston
