,name,price,store,image,story,category,location,vegan
0,catch of the day breaded fish fillets frozen 350 g,$3.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/692a5206-38c5-11ec-bb2e-0efae983d694/medium,save $1,meat,Kingston,FALSE
1,clover leaf pink salmon 150-213 g,$3.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829486/659a4cc2-38c5-11ec-b137-0ec6e2beadde/medium,save up to $1,meat,Kingston,FALSE
2,green ocean scallops frozen 300 g purepac dressed lake smelts frozen 453 g high liner family favourites or signature 350-700 g selected varieties,$6.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6a489346-38c5-11ec-bb2e-0efae983d694/medium,save up to $4,meat,Kingston,FALSE
3,seahorse peeled and cooked shrimp frozen 340 g,$6.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829488/6770f65e-38c5-11ec-88fd-0efae983d694/medium,save $1,meat,Kingston,FALSE
4,angus beef boneless top sirloin roast cut from angus aa beef 22.02/kg,$9.99 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6b11a682-38c5-11ec-bb2e-0efae983d694/medium,save $2/lb,meat,Kingston,FALSE
5,compliments air chilled whole chicken 4.39/kg,$1.99 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829488/674509a4-38c5-11ec-88fd-0efae983d694/medium,,meat,Kingston,FALSE
6,flecher's pork cottage roll cured 8.80/kg,$3.99 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6b7d0dc8-38c5-11ec-bb2e-0efae983d694/medium,save 50¢ /lb,meat,Kingston,FALSE
7,"fresh centre, rib and sirloin pork loin combo chops 11.00/kg",$4.99 lb,FreshCo,https://cdn.flippenterprise.net/page_items/240788949/1635861863/large.jpg,,meat,Kingston,FALSE
8,grace chicken wings 750 g selected varieties,$9.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/669767ea-38c5-11ec-8ea5-0ec6e2beadde/medium,save $3,meat,Kingston,FALSE
9,hungry-man frozen dinners 360-455 g,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829488/67d4df20-38c5-11ec-88fd-0efae983d694/medium,save $1.50,meat,Kingston,FALSE
10,main street deli meat 250 g pillers salami 125 g selected varieties,$3.00,FreshCo,https://cdn.flippenterprise.net/page_items/240788955/1635861867/large.jpg,,meat,Kingston,FALSE
11,mastro genoa salami 150 g san daniele prosciutto 100 g,$3.99,FreshCo,https://cdn.flippenterprise.net/page_items/240788956/1635861868/large.jpg,save up to $2,meat,Kingston,FALSE
12,mina halal lean ground chicken or leg quarters 454-1.18 g,$7.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/692be184-38c5-11ec-bb2e-0efae983d694/medium,save up to $3,meat,Kingston,FALSE
13,pork tenderloin frozen cryovac 8.80/kg,$3.99 lb,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829488/689a70e6-38c5-11ec-88fd-0efae983d694/medium,save $3/lb,meat,Kingston,FALSE
14,prime raised without antibiotics chicken drums & thighs,$5.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/6a3d6f02-38c5-11ec-8ea5-0ec6e2beadde/medium,save $1,meat,Kingston,FALSE
15,prime raised without antibiotics chicken thin sliced or filets,$11.00,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829493/6a403fa2-38c5-11ec-8ea5-0ec6e2beadde/medium,save $1,meat,Kingston,FALSE
16,schneiders pepperettes 250-375 g,$7.99,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829491/6bcc6170-38c5-11ec-bb2e-0efae983d694/medium,save $1,meat,Kingston,FALSE
17,christie cookies 224-303 g selected varieties,$2.49,FreshCo,https://cdn.flippenterprise.net/page_pdf_images/12829486/66ffd19a-38c5-11ec-b137-0ec6e2beadde/medium,save 50¢,meat,Kingston,FALSE
